Country_name,year,Life_Ladder,Log_GDP_per_capita_x,Social_support_x,Healthy_life_expectancy_at_birth_x,Freedom_to_make_life_choices_x,Generosity_x,Perceptions_of_corruption_x,Regional_indicator,level_happiness_x,Life_Ladder_Avg,Log_GDP_per_capita_y,Social_support_y,Healthy_life_expectancy_at_birth_y,Freedom_to_make_life_choices_y,Generosity_y,Perceptions_of_corruption_y,level_happiness_y,MAE
Cameroon,2020,5.084899902,8.118647575,0.700386405,52.7049408,0.763051808,-0.00149645,0.851336598,Sub-Saharan Africa,0,5.0638000000000005,8.1822,0.6923999999999999,52.7,0.7365999999999999,0.0092,0.8521999999999998,0.0,0.041399901999999766
Cameroon,2021,5.142,8.189,0.71,53.515,0.731,0.026,0.848,Sub-Saharan Africa,0,5.1175799804,8.172529514999999,0.700677281,53.02098816,0.7466103615999999,0.0095007099999999,0.8466673195999999,0.0,0.024420019599999954
Canada,2017,7.415,10.792,0.934,73.4,0.945,0.163,0.362,North America and ANZ,2,7.415,10.792,0.934,73.4,0.945,0.163,0.362,2.0,0.0
Canada,2018,7.175,10.798,0.923,73.6,0.946,0.106,0.372,North America and ANZ,2,7.175,10.798,0.923,73.6,0.946,0.106,0.372,2.0,0.0
Canada,2019,7.109,10.8,0.925,73.8,0.912,0.112,0.436,North America and ANZ,2,7.109,10.8,0.925,73.8,0.912,0.112,0.436,2.0,0.0
Canada,2020,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,North America and ANZ,2,7.2714,10.7874,0.929,73.4,0.9292,0.1689999999999999,0.3964,2.0,0.038799999999999724
Canada,2020,7.23210001,10.69236851,0.927176654,73.60160065,0.933913231,0.124770768,0.390843362,North America and ANZ,2,7.1938,10.7786,0.9274,73.6,0.9204,0.1284,0.3978,2.0,0.038799999999999724
Canada,2021,7.103,10.776,0.926,73.8,0.915,0.089,0.415,North America and ANZ,2,7.191220002,10.762473702,0.9280353308,73.68032013,0.9247826462,0.1111541536,0.3989686724,2.0,0.08822000199999991
Central African Republic,2017,3.476,6.817,0.32,45.2,0.645,0.073,0.89,Sub-Saharan Africa,0,3.476,6.817,0.32,45.2,0.645,0.073,0.89,0.0,0.0
Central African Republic,2020,3.475899935,6.625160217,0.319459856,45.20000076,0.640880644,0.082410358,0.891806662,Sub-Saharan Africa,0,4.1036,7.7188,0.4811999999999999,49.936,0.7308,0.0286,0.7686,0.0,0.627700065
Chad,2017,4.559,7.37,0.661,47.7,0.615,0.008,0.792,Sub-Saharan Africa,0,4.559,7.37,0.661,47.7,0.615,0.008,0.792,0.0,0.0
Chad,2018,4.486,7.363,0.577,48.2,0.65,0.024,0.763,Sub-Saharan Africa,0,4.486,7.363,0.577,48.2,0.65,0.024,0.763,0.0,0.0
Chad,2019,4.251,7.365,0.64,48.7,0.537,0.055,0.832,Sub-Saharan Africa,0,4.251,7.365,0.64,48.7,0.537,0.055,0.832,0.0,0.0
Chad,2020,4.422699928,7.467963696,0.632388055,48.22053909,0.587305248,0.017834719,0.802760839,Sub-Saharan Africa,0,4.329600000000001,7.411199999999999,0.649,47.7,0.5601999999999999,0.022,0.8192,0.0,0.09309992799999911
Chad,2021,4.355,7.364,0.619,48.478,0.579,0.041,0.807,Sub-Saharan Africa,0,4.349539985600001,7.3993927392,0.625277611,48.004107818,0.5828610496,0.0313669438,0.8019521678,0.0,0.0054600143999996575
Chile,2017,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,Latin America and Caribbean,1,6.32,10.072,0.88,69.8,0.79,-0.02,0.836,1.0,0.0
Chile,2018,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,Latin America and Caribbean,1,6.436,10.097,0.89,69.9,0.789,-0.06,0.816,1.0,0.0
Chile,2019,5.942,10.095,0.869,70.0,0.659,-0.103,0.86,Latin America and Caribbean,1,5.942,10.095,0.869,70.0,0.659,-0.103,0.86,1.0,0.0
Chile,2020,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,Latin America and Caribbean,1,6.362,10.081599999999998,0.8614,69.8,0.7318000000000001,-0.008,0.8363999999999999,1.0,0.09530011100000024
Chile,2020,6.228499889,10.0320549,0.879713595,69.90061951,0.744896293,-0.065668367,0.838239431,Latin America and Caribbean,1,6.2856000000000005,10.0716,0.8736,69.9,0.7342000000000002,-0.0096,0.8363999999999999,1.0,0.09530011100000024
