Country_name,year,Regional_indicator,Life_Ladder,Life_Ladder_Avg,MAE
Malaysia,2020,Southeast Asia,5.384300232,5.581,0.19669976800000022
Malaysia,2021,Southeast Asia,5.384,5.581,0.19700000000000006
Maldives,2020,South Asia,5.197599888,5.785,0.5874001120000001
Maldives,2021,South Asia,5.198,5.764,0.5659999999999998
Mali,2020,Sub-Saharan Africa,4.729300022,4.159,0.5703000220000005
Mali,2021,Sub-Saharan Africa,4.723,4.127,0.5960000000000001
Malta,2020,Western Europe,6.772799969,6.831,0.05820003100000015
Malta,2021,Western Europe,6.602,6.809,0.20699999999999985
Mauritania,2020,Sub-Saharan Africa,4.374599934,4.402,0.027400066000000223
Mauritania,2021,Sub-Saharan Africa,4.227,4.338,0.11099999999999977
Mauritius,2020,Sub-Saharan Africa,6.101299763,5.633,0.4682997630000001
Mauritius,2021,Sub-Saharan Africa,6.049,5.677,0.3720000000000008
Mexico,2020,Latin America and Caribbean,6.465000153,6.154,0.31100015300000017
Mexico,2021,Latin America and Caribbean,6.317,6.189,0.1280000000000001
Moldova,2020,Commonwealth of Independent States,5.607500076,5.102,0.5055000759999997
Moldova,2021,Commonwealth of Independent States,5.766,5.097,0.6689999999999996
Mongolia,2020,East Asia,5.456200123,5.293,0.1632001230000002
Mongolia,2021,East Asia,5.677,5.3,0.3769999999999998
Montenegro,2020,Central and Eastern Europe,5.54610014,5.389,0.15710013999999983
Montenegro,2021,Central and Eastern Europe,5.581,5.442,0.13900000000000023
Morocco,2020,Middle East and North Africa,5.094799995,4.561,0.5337999949999999
Morocco,2021,Middle East and North Africa,4.918,4.566,0.3520000000000003
Mozambique,2020,Sub-Saharan Africa,4.623600006,4.102,0.5216000059999999
Mozambique,2021,Sub-Saharan Africa,4.794,4.134,0.6599999999999993
Myanmar,2020,Southeast Asia,4.308000088,5.149,0.840999912
Myanmar,2021,Southeast Asia,4.426,5.18,0.7539999999999996
Namibia,2020,Sub-Saharan Africa,4.571100235,4.979,0.4078997649999998
Namibia,2021,Sub-Saharan Africa,4.574,4.914,0.33999999999999986
Nepal,2020,South Asia,5.137199879,4.778,0.35919987900000017
Nepal,2021,South Asia,5.269,4.791,0.47799999999999976
Netherlands,2020,Western Europe,7.448900223,7.039,0.4099002230000002
Netherlands,2021,Western Europe,7.464,7.045,0.4190000000000005
New Zealand,2020,North America and ANZ,7.299600124,7.313,0.013399875999999367
New Zealand,2021,North America and ANZ,7.277,7.259,0.017999999999999794
Nicaragua,2020,Latin America and Caribbean,6.13710022,5.872,0.2651002199999999
Nicaragua,2021,Latin America and Caribbean,5.972,5.875,0.09700000000000042
Niger,2020,Sub-Saharan Africa,4.909599781,3.827,1.0825997809999999
Niger,2021,Sub-Saharan Africa,5.074,3.778,1.2959999999999998
Nigeria,2020,Sub-Saharan Africa,4.724100113,4.571,0.1531001130000007
Nigeria,2021,Sub-Saharan Africa,4.759,4.563,0.19600000000000062
North Cyprus,2020,Western Europe,5.53550005,6.288,0.7524999500000007
North Cyprus,2021,Western Europe,5.536,6.275,0.7390000000000008
North Macedonia,2021,Central and Eastern Europe,5.101,5.355,0.25400000000000045
Norway,2020,Western Europe,7.487999916,7.209,0.27899991600000007
Norway,2021,Western Europe,7.392,7.195,0.19700000000000006
Pakistan,2020,South Asia,5.69329977,4.411,1.2822997700000007
Pakistan,2021,South Asia,4.934,4.486,0.4480000000000004
Palestinian Territories,2020,Middle East and North Africa,4.552800179,4.647,0.09419982100000013
Palestinian Territories,2021,Middle East and North Africa,4.517,4.666,0.14900000000000002
Panama,2020,Latin America and Caribbean,6.304800034,6.529,0.22419996599999958
Panama,2021,Latin America and Caribbean,6.18,6.494,0.31400000000000006
Paraguay,2020,Latin America and Caribbean,5.692100048,6.222,0.5298999520000001
Paraguay,2021,Latin America and Caribbean,5.653,6.215,0.5620000000000003
Peru,2020,Latin America and Caribbean,5.796800137,5.929,0.1321998630000003
Peru,2021,Latin America and Caribbean,5.84,5.933,0.09299999999999997
Philippines,2020,Southeast Asia,6.006000042,5.088,0.9180000420000001
Philippines,2021,Southeast Asia,5.88,5.078,0.8019999999999996
Poland,2020,Central and Eastern Europe,6.186299801,5.906,0.28029980099999996
Poland,2021,Central and Eastern Europe,6.166,5.905,0.2610000000000001
Portugal,2020,Western Europe,5.910900116,6.209,0.298099884
Portugal,2021,Western Europe,5.929,6.218,0.2889999999999997
Romania,2020,Central and Eastern Europe,6.123700142,5.579,0.5447001419999999
Romania,2021,Central and Eastern Europe,6.14,5.592,0.548
Russia,2020,Commonwealth of Independent States,5.546000004,5.58,0.033999996000000365
Russia,2021,Commonwealth of Independent States,5.477,5.578,0.10099999999999998
Rwanda,2020,Sub-Saharan Africa,3.312299967,4.467,1.1547000329999997
Rwanda,2021,Sub-Saharan Africa,3.415,4.405,0.9900000000000002
Saudi Arabia,2020,Middle East and North Africa,6.406499863,6.032,0.3744998629999996
Saudi Arabia,2021,Middle East and North Africa,6.494,6.029,0.46499999999999986
Senegal,2020,Sub-Saharan Africa,4.980800152,4.343,0.6378001519999996
